번호_시군구명,업체명,소재지,신고일자,근로_수의사수
90 안동시,신세계동물병원,경상북도 안동시 명륜동 328번지 4호  ,2003-12-04,1
91 안동시,연합가축병원,경상북도 안동시 당북동 311번지 7호  ,1992-11-24,1
92 안동시,황동물병원,경상북도 안동시 당북동 333번지 93호  ,1999-08-09,1
93 안동시,서울종합동물병원,경상북도 안동시 옥야동 340번지 49호  ,2016-06-01,1
94 안동시,보경종합동물병원,경상북도 안동시 당북동 333번지 120호  ,2006-05-26,1
95 안동시,보우종합동물병원,경상북도 안동시 안기동 235번지 17호  ,2000-05-13,1
96 안동시,영민동물병원,경상북도 안동시 송현동 419번지 1호  ,2003-05-15,1
97 안동시,대구가축병원,경상북도 안동시 옥동 920번지 4호  104동 703호 ,1983-04-22,1
98 안동시,안동제1 동물병원,경상북도 안동시 옥동 796번지 1호  ,2006-08-10,1
99 안동시,경북가축병원,경상북도 안동시 금곡동 124번지 1호 0통 0반  ,1979-07-05,1
100 안동시,구담가축병원,경상북도 안동시 풍천면 구담리 488번지 2호  ,1974-02-26,1
101 안동시,안동동물의료센터,경상북도 안동시 옥동 790번지 8호  ,2019-08-12,2
102 안동시,강남메디컬동물병원,경상북도 안동시 정하동 251번지 2호  ,2019-07-31,1
103 안동시,경상북도 야생동물 구조관리센터,    ,2017-05-12,1
104 안동시,풍산동물병원,    ,2017-03-09,1
105 안동시,태인동물병원(출장진료전문병원),경상북도 안동시 서후면 명리 489번지 학산아파트 101동 402호 ,2018-07-27,1
106 안동시,BAC 바른동물병원,경상북도 안동시 정하동 371번지 4호  ,2017-09-18,1
107 안동시,안동봉화축협동물병원,경상북도 안동시 광석동 20번지 4호 안동봉화축협 ,2002-08-13,1
108 구미시,김수의과병원,경상북도 구미시 선산읍 이문리 91번지 2호 4통  ,1972-05-20,1
109 구미시,(주)대경동물병원,경상북도 구미시 선산읍 화조리 188번지  ,2002-01-11,2
110 구미시,우리동물병원,경상북도 구미시 선산읍 신기리 47번지  ,1993-09-09,1
111 구미시,파랑새동물병원,경상북도 구미시 고아읍 문성리 1294번지  ,1995-07-14,1
