식당(ID),식당명,지역명,주차가능여부,와이파이제공여부,놀이방유무,반려동물입장가능여부,다국어메뉴판제공여부,화장실정보내용,휴무일정보내용,영업시간내용,택배판매유무,배리어프리유무,배달서비스유무,예약방식명,온라인예약정보내용,홈페이지(URL),인근랜드마크명,인근랜드마크위도,인근랜드마크경도,인근랜드마크와거리,키오스크유무,모바일페이먼트유무,스마트오더유무,입식좌석수,좌식좌석수,대표메뉴명
466925,공차(홈플러스 해운대점),부산광역시 해운대구,N,N,N,N,N,N,일요일,매일 10:00~21:30,N,N,Y,,,,영화의 거리,35.1548866,129.144666,468.424162,N,N,N,,,
466929,만땅PC방,부산광역시 해운대구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
466932,아임에어바운스,부산광역시 해운대구,Y,N,N,N,N,N,,,N,N,N,전화예약,,https://smartstore.naver.com/im-airbounc/products/5399186562,,,,,N,N,N,,,
466936,빨강떡볶이(부산점),부산광역시 해운대구,N,N,N,N,N,N,일요일,,N,N,N,,,,,,,,N,N,N,,,
466939,카리브관광호텔내휴게음식점,부산광역시 해운대구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
466940,아리랑수제고로케,부산광역시 해운대구,N,N,N,N,N,N,,매일 12:00~00:00,N,N,Y,,,,,,,,N,N,N,,,
466942,컬럼버스서클(Columbus Circle),부산광역시 해운대구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
466957,프레제,부산광역시 해운대구,N,N,N,N,N,N,일요일,평일 10:00~20:00,N,N,N,전화예약,,,영화의 거리,35.1548866,129.144666,245.788015,N,N,N,,,
466959,아델라7,부산광역시 해운대구,N,N,N,N,N,N,,매일 08:00~24:00,N,N,Y,,,,,,,,N,N,N,,,
466961,도현당,부산광역시 해운대구,Y,Y,N,N,Y,Y,,매일 10:00~20:00,N,N,N,,,http://dhdang.com,해운대해수욕장,35.1590427,129.160115,94.708706,N,N,N,,,
466968,후딱,부산광역시 사하구,N,Y,N,N,Y,N,연중무휴,매일 17:30~24:00,N,N,N,전화예약,,http://www.instagram.com/ki_sung82,다대포 해수욕장,35.0463817,128.968006,407.080852,N,N,N,,,
466972,소문난식당,부산광역시 사하구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
466973,다대포애칼국수(본점),부산광역시 사하구,N,N,N,N,Y,N,일요일,매일 10:30~19:30,N,N,N,,,,,,,,N,N,N,,,
466976,피자비토랩(다대점),부산광역시 사하구,N,N,N,N,Y,N,연중무휴,매일 11:00~24:00,N,N,Y,,,http://www.facebook.com/vittolab,,,,,N,N,N,,,
466982,꼬김스,부산광역시 사하구,Y,Y,N,N,Y,Y,월요일,매일 08:30~20:20,N,N,N,전화예약,,https://kkogimsdd.modoo.at,,,,,N,N,N,,,
466984,어부의 딸,부산광역시 사하구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
466986,피자에땅(다대포점),부산광역시 사하구,N,N,N,N,Y,N,,,N,N,Y,전화예약,,http://www.pizzaetang.com/,,,,,N,N,N,,,
466987,한양족발,부산광역시 사하구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
466989,닭한마리 찜닭,부산광역시 사하구,N,N,N,N,N,N,,,N,N,Y,,,,,,,,N,N,N,,,
466992,멕시카나치킨(다대점),부산광역시 사하구,N,N,N,N,Y,N,,매일 12:00~00:00,N,N,N,,,,,,,,N,N,N,,,
466993,국제통닭(다대점),부산광역시 사하구,N,Y,N,N,Y,N,,매일 15:00~24:00,N,N,N,,,,,,,,N,N,N,,,
