식당(ID),식당명,지역명,입식좌석수,좌식좌석수,주차가능여부,와이파이제공여부,놀이방유무,반려동물입장가능여부,다국어메뉴판제공여부,화장실정보내용,휴무일정보내용,영업시간내용,택배판매유무,배리어프리유무,배달서비스유무,예약방식명,온라인예약정보내용,홈페이지(URL),인근랜드마크명,인근랜드마크위도,인근랜드마크경도,인근랜드마크와거리,키오스크유무,모바일페이먼트유무,스마트오더유무,대표메뉴명,식당상태
219475,천둥,전라남도 목포시,32,38,Y,Y,N,N,Y,Y,,매일 11:00~22:00,N,Y,N,N,,,목포 관광특구,34.81188,126.3923,579.060108,N,N,N,,운영중
219477,또래오래 목포연산점,전라남도 목포시,10,0,N,N,N,N,Y,N,,매일 13:00~23:00,N,N,Y,N,,"http://www.toreore.com,http://www.instagram.com/toreore_official,http://www.facebook.com/toreore9292",,,,,N,N,N,,운영중
219479,꼬미꼬미,전라남도 목포시,20,24,N,N,N,N,Y,N,일요일,매일 16:00~24:00,N,N,Y,N,,,노을공원,34.80896,126.3658,987.297062,N,N,N,,운영중
219480,세화정,전라남도 목포시,22,70,N,N,N,N,Y,N,,매일 00:00~24:00,N,N,N,N,,,노적봉,34.78693,126.3846,120.591583,N,N,N,,운영중
219491,삼호다방,전라남도 목포시,22,0,N,N,N,N,Y,N,,,N,N,N,N,,,노적봉,34.78693,126.3846,187.704678,N,N,N,,운영중
220278,오돈 수제돈까스전문점,전라남도 목포시,0,16,Y,N,N,N,N,N,,,N,N,N,N,,,,,,,N,N,N,왕돈까스 / 오돈정식,운영중
221471,동부어묵,전라남도 목포시,20,0,N,Y,N,N,N,N,연중무휴,,N,N,N,N,,,,,,,N,N,N,핫바 떡볶이 순대,운영중
223056,한가네김밥,전라남도 목포시,0,0,N,N,N,N,N,N,,,N,N,N,N,,,,,,,N,N,N,,미확인
226052,조개까는인생,전라남도 목포시,0,0,N,Y,N,N,N,N,,,N,N,N,N,,,,,,,N,N,N,,폐업
227800,흑화당 목포 하당점,전라남도 목포시,0,0,N,N,N,N,N,N,,,N,N,N,N,,,,,,,N,N,N,,폐업
230815,옥암골,,0,0,N,N,N,N,N,N,,,N,N,N,N,,,,,,,N,N,N,,미확인
233309,고향출장뷔페,전라남도 목포시,0,0,N,N,N,N,N,N,연중무휴,,N,N,N,N,,,,,,,N,N,N,출장뷔페,미확인
233333,동북음식점,전라남도 목포시,0,0,N,N,N,N,N,N,,,N,N,N,N,,,,,,,N,N,N,"백반,홍어,젓갈,신선한,김치찌개",폐업
233389,페리카나바베큐,전라남도 목포시,0,0,N,N,N,N,N,N,,,N,N,N,N,,,,,,,N,N,N,,미확인
233632,서귀포식당,전라남도 목포시,0,0,N,Y,N,N,N,N,연중무휴,,N,N,N,N,,,,,,,N,N,N,"돌게장백반,홍어삼합정식백반",폐업
