식당(ID),식당명,지역명,입식좌석수,좌식좌석수,주차가능여부,와이파이제공여부,놀이방유무,반려동물입장가능여부,다국어메뉴판제공여부,화장실정보내용,휴무일정보내용,영업시간내용,택배판매유무,배리어프리유무,배달서비스유무,예약방식명,온라인예약정보내용,홈페이지(URL),인근랜드마크명,인근랜드마크위도,인근랜드마크경도,인근랜드마크와거리,키오스크유무,모바일페이먼트유무,스마트오더유무,대표메뉴명,식당상태
676635,제일한우정육식당,전라북도 전주시,80,100,Y,Y,N,N,N,N,연중무휴,,N,N,N,N,,,,,,,N,N,N,"정육식당,한우,갈비탕,육회비빔밥,선지국",미확인
677213,이지비부대찌개,전라북도 전주시,40,16,Y,Y,N,N,Y,Y,연중무휴,매일 10:00~22:00,N,N,Y,전화예약,레드테이블,https://ijibi.modoo.at,,,,,N,N,N,,운영중
677691,족발야시장,전라북도 전주시,20,0,N,N,N,N,Y,N,,매일 16:00~24:00,N,N,Y,N,레드테이블,http://www.odr.kr/mwwdpk,오송제,35.85935,127.1255,931.289036,N,N,N,,운영중
678267,카페옴니버스,전라북도 전주시,24,0,Y,Y,N,N,N,N,,,N,N,N,N,,,,,,,N,N,N,"아메리카노, 피치플럼에이드, 허니버터브레드, 연유큐브라떼, 조리퐁 옴니치노 ",폐업
680026,부타웅,전라북도 전주시,45,0,Y,Y,N,N,Y,Y,,매일 17:30~03:00,N,N,N,N,레드테이블,"http://www.instagram.com/buta_izakaya,https://www.bkgroup.biz/buta",황강서원,35.82904,127.1031,918.178645,N,N,N,,운영중
680076,청년다방 전주대점,전라북도 전주시,0,0,N,N,N,N,Y,N,,매일 12:00~21:00,N,N,N,N,,,전주대학교 박물관,35.81416,127.0901,215.655111,N,N,N,,운영중
680087,더리터 동산점,전라북도 전주시,20,0,N,N,N,Y,Y,N,,,N,N,Y,N,레드테이블,,호남제일문,35.86935,127.0709,601.2714,N,N,N,,운영중
680223,애슐리W 전주STS점,전라북도 전주시,152,0,Y,Y,N,N,N,N,"설날, 추석 당일",,N,N,N,N,,,,,,,N,N,N,샐러드바,운영중
680844,고사바베큐객사본점,전라북도 전주시,33,0,N,Y,N,N,N,N,,,N,N,N,N,,,,,,,N,N,N,바베큐,미확인
681127,트랙나인,전라북도 전주시,0,0,N,Y,N,N,Y,Y,,,N,N,N,전화예약,,,전주대학교 박물관,35.81416,127.0901,973.33439,N,N,N,,운영중
681742,이춘봉인생치킨 전주효자점,전라북도 전주시,30,0,N,N,N,N,Y,N,,매일 12:00~02:00,N,N,Y,N,레드테이블,"http://www.lifechicken.com,https://blog.naver.com/lifechicken_cb,http://www.facebook.com/lifechicken,http://www.instagram.com/echunbong",다가공원,35.8122,127.1198,431.721991,N,N,N,,운영중
