식당(ID),식당명,지역명,주차가능여부,와이파이제공여부,놀이방유무,반려동물입장가능여부,다국어메뉴판제공여부,화장실정보내용,휴무일정보내용,영업시간내용,택배판매유무,배리어프리유무,배달서비스유무,예약방식명,온라인예약정보내용,홈페이지(URL),인근랜드마크명,인근랜드마크위도,인근랜드마크경도,인근랜드마크와거리,키오스크유무,모바일페이먼트유무,스마트오더유무,입식좌석수,좌식좌석수,대표메뉴명
643364,카페그란데(대의동본점),광주광역시 동구,N,N,N,N,Y,N,,매일 07:00~22:00,N,N,N,,,,문화전당역(구도청),35.1464409,126.9198890,320.6696620,N,N,N,,,녹차라떼
645237,여우앤신화다방,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
645561,소맥베이커리,광주광역시 동구,N,Y,N,N,N,N,,매일 09:00~21:00,N,N,N,,,http://instagram.com/somacbakery,문화전당역(구도청),35.1464409,126.9198890,160.9953810,N,N,N,,,
645661,광주점빵,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
645720,사거리다방,광주광역시 동구,N,N,N,N,Y,N,,"평일 09:00~20:00, 주말 09:00~18:00",N,N,N,,,,,,,,N,N,N,,,아메리카노
645832,월드식당,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
645995,완소커피,광주광역시 동구,Y,Y,N,Y,Y,N,화요일,,N,N,N,,,http://instagram.com/wansocoffee,,,,,N,N,N,,,카페 아메리카노
646106,주향,광주광역시 동구,N,N,N,N,Y,Y,,,N,N,N,전화예약,,,문화전당역(구도청),35.1464409,126.9198890,545.7051010,N,N,N,,,연어초밥
646147,행복한담벼락,광주광역시 동구,N,N,N,N,Y,N,일요일,,N,N,N,,,https://www.instagram.com/happy_wall_,문화전당역(구도청),35.1464409,126.9198890,360.1234030,N,N,N,,,순두부찌개
646300,골뱅이상회,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
646877,훈이네,광주광역시 동구,N,N,N,N,Y,N,,,N,N,N,,,,문화전당역(구도청),35.1464409,126.9198890,419.9710020,N,N,N,,,짜글이
646880,오봉자싸롱(광주학동점),광주광역시 동구,N,N,N,N,Y,N,,,N,N,N,,,,,,,,N,N,N,,,고르곤졸라피자
646887,제이12,광주광역시 동구,N,N,N,N,Y,N,월요일,매일 11:00~22:00,N,N,N,,,,문화전당역(구도청),35.1464409,126.9198890,483.9004270,N,N,N,,,아메리카노
647090,형아네퓨전요리,광주광역시 동구,N,N,N,N,Y,N,,,N,N,Y,,,,인당국악사,35.1453096,126.9215580,515.2179530,N,N,N,,,형아네 수제 돈가스
647330,신대륙,광주광역시 동구,N,Y,N,N,Y,N,,매일 18:00~02:00,N,N,N,전화예약,,http://www.instagram.com/sindaeryuk,문화전당역(구도청),35.1464409,126.9198890,375.1725430,N,N,N,,,지옥 브리치즈
647862,딜리버리로우,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
648571,멘야산다이메(충장점),광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
649418,취향저격,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
